,ja,ko,ta,te,hu,fi,zh,my,ar,he,cy,ga,hi,ne,en,de,hy,el,fr,pms,ru,sv
Sentence lengths,0.020846205084156577,0.035564716645885806,0.028276052648237557,0.030494728404899772,0.0489295098869235,0.022684338183904,0.014077892045515196,0.08228185509982386,0.07567521923856664,0.03564469002481895,0.03001557209176817,0.05225735827003595,0.23058848928851183,0.5897066096824133,0.03783867201416296,0.05365899948751225,0.10951844351284562,0.06008995562948126,0.060476209311926585,0.03505790805100968,0.03569385837687359,0.025617128579201728
Word lengths,0.06006732248421735,0.0026735899473185887,0.00587693380174004,0.004541099180230587,0.002913073121003501,0.0038931821258047627,0.09044293993940875,0.023369870405589483,0.002434994004312789,0.001303992310681186,0.005216921020712445,0.0022290821508728076,0.003340025609759911,0.004543214422884696,0.002442471907505652,0.0035739932854238626,0.0032984334267770338,0.0024192989490315966,0.004928890873155324,0.002397123794101702,0.0044455265911269165,0.006249552725661411
